Subject	IGHV1-7	IGHV1-10	IGHV1-14	IGHV1-17	IGHV1-20	IGHV1-21	IGHV1-27	IGHV1-30	IGHV1-7UL	FracULGlobal	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14225	0.0982620068495	0.121631205674	0.0586252460696	0.277265863064	0.277745867379	0.166480597578	0.177675754389	0.121214572715	24.85214586	0.0165444193	0.0	2.16	2.5	8.16
14227	0.0772019830371	0.0603340761085	0.0670829662642	0.310896339673	0.242011711665	0.15502409701	0.103449586291	0.136083329015	46.75328459	0.02527282758	3.16	5.16	3.5	3.33
14229	0.0757098967482	0.206304323872	0.186927594097	0.267785498078	0.20411354459	0.122994756389	0.0837535567755	0.0842299540455	30.43191717	0.0157892899	3.5	3.16	0.0	5.83
14231	0.107322590849	0.439643024894	0.279479682902	0.116091678569	0.0737607960046	0.0468438761132	0.0183280451683	0.0363665992466	46.32149384	0.03375603397	3.83	3.83	3.5	5.16
14233	0.0853075938211	0.288022537	0.239522798561	0.125258253423	0.161966369552	0.134183898828	0.131802369723	0.0305141049623	45.23840736	0.02802998844	3.5	3.5	3.16	3.16
14235	0.087401242312	0.356088246994	0.198787062819	0.127035280438	0.149443407484	0.129726752547	0.117765062269	0.0331054741287	51.06331097	0.02826394199	0.0	1.83	0.0	8.5
14237	0.0789506658524	0.213100985825	0.0374213896825	0.113827626807	0.253931503617	0.22319065041	0.23695359409	0.00956926456527	38.53116757	0.02105153724	5.16	5.5	4.16	2.83
14239	0.0715099802859	0.154884384754	0.162989088768	0.0881010076119	0.167193746235	0.273995810744	0.21157453042	0.0177683998686	58.59876425	0.03121499964	6.16	5.5	3.83	3.83
14241	0.0738816436202	0.125940100924	0.172049282391	0.26371452913	0.263253162068	0.131021692116	0.092420211023	0.12	35.67757348	0.01863120084	6.16	4.83	2.5	5.16
14243	0.0886820469381	0.15690069261	0.0806437789626	0.0988489710499	0.235260351786	0.269589914794	0.205955453685	0.0201604464597	34.53241244	0.02324971207	6.33	4.5	2.16	5.5
14245	0.0542550442085	0.29660091511	0.25428343665	0.12630268527	0.147908241452	0.165997502921	0.113300402954	0.0375016835262	36.04593196	0.01335444869	4.83	3.5	2.16	6.5
14247	0.0591828253263	0.0452484834774	0.116008098288	0.119477703655	0.23712401488	0.281756103265	0.208358063274	0.0339512958913	21.66047199	0.00930151623	4.5	2.16	2.5	7.83
14251	0.0684495454176	0.0608235248742	0.10039299486	0.315307597053	0.34264490711	0.131639738025	0.103795284882	0.082652834298	16.80743469	0.008383994518	4.5	4.83	3.5	7.16
14253	0.0887059415911	0.129222893588	0.0553902316213	0.113811681772	0.257916247063	0.227095501846	0.210034407519	0.0185120845921	46.07329581	0.03048299559	3.5	3.83	2.16	3.83
14255	0.0586997983335	0.163128644457	0.160927509497	0.251961167477	0.259982490972	0.113643753811	0.0875154376475	0.083934685072	25.60709195	0.01056173319	4.83	4.5	2.5	3.83
14259	0.0514653402532	0.0865733683441	0.147377719427	0.266846346342	0.280364176264	0.131594251425	0.0836446704086	0.0922016671219	34.67724168	0.01298421533	5.83	5.83	4.33	3.16
14261	0.0970195557507	0.389334367134	0.171495980244	0.118037640615	0.136312542343	0.157941595949	0.109865102283	0.0240425226643	36.43300285	0.02641121002	5.83	3.5		3.5
14263	0.0495546515714	0.0550687300428	0.0654117355568	0.275829071152	0.310808453403	0.183700222232	0.126596263776	0.0711887503698	31.59747746	0.01081913233	4.83	4.5	3.83	3.16
14265	0.0935913604637	0.058669329762	0.0773553496687	0.286165113837	0.309837206006	0.1535261908	0.112975936687	0.114970365592	23.16304408	0.01559569028	5.5	2.5	1.83	5.16
14267	0.0546647080727	0.0669909488332	0.0913003832159	0.346480541604	0.362539252509	0.14153479876	0.0977479101979	0.092420417462	15.96485318	0.005702423108	6.83	6.16	4.16	2.5
